osm_id,code,fclass,name,lon,lat
603125059,5651,airport,高东海上救助机场,121.6219483,31.3341495
7054802195,5655,helipad,,122.2406578,31.4213625
10129402684,5655,helipad,,121.7212765,30.8564794
13023907322,5655,helipad,,121.4227559,31.0118075
13594518897,5651,airport,空军崇明机场,121.5183466,31.6637717
